"x","y"
26413.5588728707,27655.0291994007
26413.5489393544,27645.0292043345
8925.39927280517,34699.1001115048
26035.6492996937,25754.0043792398
36222.5712714379,18748.912330869
34839.0220132374,33295.8453206378
34848.6918809132,33278.3389061133
34852.8427646016,33291.633620831
34843.9167537986,33287.1251545186
12760.6795038079,34993.3148150586
15496.4425159076,32768.2196773857
15476.6873666713,32768.2135125887
15486.565431359,32766.6566445707
23897.2772243177,35239.572196546
23898.4727874307,35253.2188795612
23905.1379497866,35245.753539046
28729.7532775361,17210.4281778409
36600.2882187273,20640.333199249
36024.0709480026,15905.0124535686
6699.68441127912,28398.1321464673
6692.32612378541,28391.3604697798
7545.15532689312,17330.1140910956
7842.31777666831,37227.5711192488
7835.27588431175,37239.3586569086
7845.04933920554,37237.190816027
15143.0999362258,4652.44094646696
8561.08478647358,35334.6767333553
26414.0930544052,26384.0835837447
26401.3773653205,26392.2994482081
26404.1888405497,26382.702805738
30390.7854188533,21946.2867520464
30403.7925054431,21934.6710793607
30400.5502582396,21944.1308802608
7302.89258098962,38814.3060672658
17722.9272409897,9055.10209597607
17724.8346901684,9064.91849181948
7267.21408509378,31229.6441025851
7248.22045985685,31238.3734384964
7265.90494477379,31242.3382403968
7257.55506734404,31226.2386330901
7257.98785977427,31236.2292632361
14372.1375222501,28341.4558971013
14357.4405683713,28362.3061477745
14374.0195804517,28351.2771746013
14357.4217049324,28349.7437061882
14365.2122633684,28356.0133297713
11982.0499503804,25513.7384613173
11967.3728016669,25526.2377822862
11972.9853401196,25517.961345123
11866.8561982364,38464.9111837425
11866.4788855095,38484.7200986859
11868.033331223,38474.8416525265
27912.9849242418,32687.4744652587
27896.8221527528,32707.5294854523
27903.0566855572,32688.669521472
27908.1816131661,32702.6901388949
27898.833629477,32697.7340566141
9247.7401301749,27748.6338113023
15283.8877621497,28670.3723076268
15269.4824442194,28652.0475187881
15286.5450253837,28660.6848214006
15279.4441323767,28652.9220295401
15276.7542420624,28662.7196584841
28898.9635777291,15641.2698525327
28902.0258148362,15619.3859267284
28909.148724913,15636.4692909443
28893.1357034175,15624.5839151697
28900.6882611325,15631.1382169602
17800.8778859495,22325.2711568103
33027.5823421223,33931.9052996467
33018.1043070421,33928.7167496601
34304.0075169735,33601.9438809485
34299.2419638284,33610.7353258366
31476.0714550827,18774.7206282066
11657.9701974748,32468.0591782205
11641.8078410071,32472.5411904007
11651.3446718045,32475.5493224358
11929.4784670592,17942.3388619535
11928.0867881569,17932.4361739431
8459.39967220997,17014.0383118714
8449.82382707391,17011.156786246
32993.1045892571,28866.5408479612
32998.0862334759,28885.9266308918
32989.0420644997,28875.6784566525
32999.3085331548,28876.0016128316
14019.4782712231,31517.4691580109
14018.0088282098,31507.5777103297
13274.0233029292,28360.2697186343
13267.1897652693,28352.968844505
44627.9033324371,19954.5404755287
44632.7166877664,19963.3058397809
11529.834547492,11622.3754599761
44641.6963125412,22489.294116219
44651.6481094233,22490.2747990518
13459.7781327695,29934.2864583851
11047.4061442858,22060.2646144075
11037.4543551268,22042.5733025378
11036.2428035242,22061.4859927828
11047.5354167653,22045.6172471424
11040.037433415,22052.2339236092
21349.0615811495,35893.6657549856
21180.6238305204,6829.81945992969
15323.8566318289,36245.9613107035
15323.8073218756,36235.9614322778
13423.7210040052,23611.7614444324
13429.9072863502,23619.6182829027
32838.9442458875,32978.4966510512
27354.0695701161,31115.8945327065
27344.4505294695,31118.6283903145
14225.3548649888,35613.5609925697
14223.1435312999,35623.3134283329
11464.3562859871,32161.4119812555
24338.7582909945,15980.0925719282
24339.5151582527,15960.0539749803
24328.615772918,15975.5468115622
24346.6352720422,15968.6060059087
24336.6895408282,15969.646466115
36087.9256434053,26643.1852351508
41523.5423547734,19665.5905396984
24695.0941534446,14704.6128079604
37650.4914444368,13063.6108783294
37654.9081849473,13041.689007964
37641.5745078866,13055.9513786385
37660.7036848351,13050.1675077542
37651.2531123599,13053.436556529
20666.2771036095,12834.2345874638
11125.8354687412,36581.6864630017
25330.4809382377,28287.3595779451
25314.8982577465,28285.6231538532
25322.0020627337,28292.6613322187
11432.1848805722,27108.6962561352
11439.3790304039,27101.7504510561
19147.7371734587,32745.9444347802
19126.8545045323,32743.0440773306
19138.3197552268,32757.3121911106
19140.4692377946,32738.8487708386
19135.7286735139,32747.6537154893
29906.9439977805,31735.3130348073
12851.0428009195,18880.802991581
27266.6833427447,17850.6154379543
27276.6067888841,17849.3804413067
13320.3332468376,37207.5514698059
13319.4309193159,37197.5922627569
38943.6969415853,16524.2691983868
38958.3700559593,16511.8584583747
38952.8217995054,16520.1781248537
27509.5134629599,27645.78774098
9743.2892090111,17324.7611009888
9724.69112866923,17316.1957829606
9743.40276947713,17311.7533086282
9733.30824879564,17326.5505423956
9734.68100528822,17316.6452233283
23040.804618593,12503.6146586197
18800.038607875,5891.08801041994
36040.4088469188,18429.4379700172
33010.0795077577,31403.4667109982
10181.2231020096,31217.0168345756
19015.8930867072,10631.0565112391
19007.08527771,10635.7917515359
25325.673187425,28920.5359480114
16612.6513351391,7169.87224501159
16622.6285963944,7170.54623154267
20442.6041345833,6209.3027280661
20448.754429365,6194.97380274102
20451.7262639734,6205.20556375526
41239.2967033073,33567.9335100436
32039.181933909,21612.4619456344
23849.0369703882,26400.7650686229
25214.6238528639,9328.31661469763
25209.5412138276,9336.92862842425
27613.4660212961,14051.6390722888
16603.654951182,3386.87784082722
16586.9252894489,3370.82658749067
16605.8530457291,3377.1224199444
16588.4728914045,3381.09640290342
16596.1603601397,3374.6623699318
27347.8014127989,33012.0883315354
27367.2740377227,33016.162249134
27357.7480479447,33013.1199607274
10686.5961746751,23940.0218272899
10695.4632873713,23950.4924398556
10685.4572028314,23949.9567527118
23810.9056583277,19450.6829052084
31537.4818453506,28881.5116172769
20932.3662320929,27049.5215865543
11064.4308823557,25843.1041644637
34139.374164074,35815.2930324729
34123.6884234919,35828.3204796022
34129.504041537,35813.3031335444
34132.126022105,35822.9532708636
42430.1666194625,18082.0520406816
36570.0204870542,15587.659950689
35833.8595093896,15585.3997635683
35852.2729795892,15592.966492843
35833.1538964453,15598.0757199388
35843.8613545033,15584.2404602811
35842.3403003724,15594.1247728515
15344.1892506905,39396.1631481948
15339.0496137622,39404.7412675834
39344.4615871086,23470.6163962809
39366.8703162885,23471.6463077845
39354.6246371455,23456.3036043939
39353.9843910882,23473.6686302093
39359.252053538,23465.1685362904
46879.1126107555,30061.0559116486
17718.5334218119,40976.5218691615
17733.3708388314,40962.4665262017
17727.114064712,40971.3864491961
17723.2228840661,40962.1745702791
11759.0135001552,20152.6883357105
37005.470410284,26332.4737066041
36990.3364848512,26322.4838558764
37000.2271532862,26323.9585347937
29728.7285360528,32684.5703145261
41191.1354592477,25351.7686760257
6919.06660568814,35648.6728167893
6921.01733215843,35669.0878204252
6910.29082301127,35655.3677050442
6929.51407320509,35658.679780829
6919.52758373362,35659.1994230482
30885.7571430343,10875.1086010522
39910.94146075,25034.1192098031
39906.6410781099,25051.2363975677
39913.353440024,25043.8239622368
29875.7418199869,26044.9792779492
26606.2630698297,29847.8574409581
26601.6679394755,29863.4291538037
26609.5663884775,29857.2960874123
15292.3933694993,31812.9256500875
15299.2359793407,31827.3196409009
15301.2708874521,31817.5288745007
27841.464808188,21954.7226378163
28445.8778529182,32384.7602352311
28448.0306041774,32374.9947008363
36757.4150094642,15900.6580367181
29388.2313865927,35848.0864501612
27263.1929877678,16584.6488746929
34956.4767623034,20965.5135595758
10977.0986017169,11320.973675824
10985.2969721895,11300.6959646492
10970.3664099559,11313.1672427905
10988.9500904569,11311.4072964145
10979.3195130795,11308.7128130335
14223.8639761358,36246.8810919002
14232.3011409708,36252.2489825052
22353.758130302,18834.8667046741
22339.0956886122,18817.8491453221
22343.6552911652,18834.102767015
22346.5387637238,18824.5275158482
14169.7680290529,25505.4777402
14160.2382450891,25508.5081226185
29013.7960605445,35219.5261523539
29388.6485899548,36474.0347488807
29384.4353364284,36483.1038444652
11629.0858813811,28679.3757982564
28646.7566176642,34587.1865707095
30021.6560077066,18158.7189059512
30000.3742149452,18146.3763825982
30018.2506165857,18149.3166049511
30008.6248713013,18152.0267515855
18422.1456935175,34006.6845003495
18405.9118461845,34021.2727734928
18425.2506449513,34016.1966349819
18409.2247104637,34011.0705258437
